"SKU";"Item name";"Attribute name";"Attribute value";"GTIN";
"BED034grey_65";"BED WEDGE 65CM GREY";"ZIPPER COLOR";"Grey";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"FILLING";"25D 100% polyurethane foam + 30D 6cm/0.5cm memeory foam on top";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"FILLING COLOR";"white + white";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"BRAND LABEL DETAIL";"woven front + back printed";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"BRAND LABEL COLOR";"LIGHT GREEN";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"BRAND LABEL SIZE";"23.2 x 20 mm";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"WASHING LABEL SIZE";"3.5*7cm";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"BRAND INSERT PAPER STYLE";"non shiny matte 220g paper weight";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"HS CODE";"94049090";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"SOURCING PRICE";"$10.71";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"PRODUCT WEIGHT";"1500g";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"BRAND INSERT SIZE";"32 x 15 cm";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"COLOR BOTTOM";"Grey";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"MATERIAL BOTTOM";"100% polyester";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"QUALITY BOTTOM";"170gsm";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"SUPPLIER";"KANGHAO";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"EAN";"8720618522955";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"MASTER CARTON CBM";"0.0920";"8720618522955";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"barcode_type";"EAN";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"MASTER CARTON SIZE";"52cm 42cm 42cm";"8720618522702";
"MC005beige_4pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 4er Set";"FBA FEE";"€6.48";"8720618522702";
